K,phi,overlap,disagree,H_W,oracle,ddel_F,delta_vs_single,sec
5,0.2,0.11299434411651443,0.7061165048543689,0.005457163146638335,0.9805825242718447,0.9497362080171813,-0.019258412388171053,6.4081432819366455
5,0.4,0.28851334827644026,0.6428155339805824,0.005457163146638335,0.9912621359223301,0.9736899619607877,0.004695341555435384,16.669581174850464
5,0.6,0.4774755660267703,0.199126213592233,0.005457163146638335,0.987378640776699,0.971124736727336,0.002130116321983677,35.995723724365234
5,0.9,0.8424346384561984,0.008349514563106796,0.005457163146638335,0.9728155339805825,0.9722579007304023,0.0032632803250499665,65.89766883850098
8,0.2,0.1432147225263687,0.6531206657420249,0.0032124165080350564,0.9932038834951457,0.9632613479731084,-0.005733272432243974,10.907363891601562
8,0.4,0.35874084208612017,0.5716366158113731,0.0032124165080350564,0.9951456310679612,0.9739170855177796,0.004922465112427221,27.7091703414917
8,0.6,0.5338846189685033,0.17538141470180305,0.0032124165080350564,0.987378640776699,0.9699907743125803,0.000996153907227959,58.04147410392761
8,0.9,0.8599403550179358,0.0065533980582524265,0.0032124165080350564,0.9737864077669903,0.9699907743125803,0.000996153907227959,101.33143782615662
