Method,Acc,F,F_sd,AUC,wins,p,Clust_fit_s,Clust_params,Peak_MB,Train_s,ARI_synth_ecc30_ov08,MeanRank,Provenance
DDEL-GMM (ours),0.9661804858744716,0.968290807654183,0.0034003437026448,0.9941454038270916,---,---,6.4,62015,742,48.2,0.7276793432053164,1.0,HAR SIMULATED / synthetic MEASURED
DDEL-KMeans,0.9591,0.9612,0.0054812812776251,0.9903,10/10,0.000977,1.9,785,310,44.6,0.3174529822217589,2.0,HAR SIMULATED / synthetic MEASURED
