model,covariance_type,d,K,n_samples,seed,ARI,mean_loglik,n_params,fit_time,converged
GMM-diag,diag,157,3,1000,0,0.8886607160440482,-223.4324350926801,944,0.1424546241760254,True
GMM-tied,tied,157,3,1000,0,0.8329800441162855,-211.5024441645225,12876,1.1300275325775146,True
GMM-full,full,157,3,1000,0,0.8660139014671357,-185.9077179566583,37682,0.6417217254638672,True
KMeans,kmeans(reference),157,3,1000,0,0.8660139014671357,,471,1.3303611278533936,True
GMM-spherical,spherical,157,3,1000,1,0.8804208517730134,-223.65127972672911,476,0.08288455009460449,True
GMM-diag,diag,157,3,1000,1,0.8860632895494861,-223.16337667573254,944,0.05837249755859375,True
GMM-tied,tied,157,3,1000,1,0.8750423049316658,-211.2856781870652,12876,0.7608437538146973,True
GMM-full,full,157,3,1000,1,0.877724227553234,-185.38898869931072,37682,0.3581867218017578,True
KMeans,kmeans(reference),157,3,1000,1,0.8891021916571216,,471,0.8291177749633789,True
GMM-spherical,spherical,157,3,1000,2,0.8414915375548481,-222.77350602423098,476,0.16838860511779785,True
GMM-diag,diag,157,3,1000,2,0.8607665617179919,-222.38055092275198,944,0.11292576789855957,True
GMM-tied,tied,157,3,1000,2,0.8552400311790427,-210.87436979697864,12876,0.8190822601318359,True
GMM-full,full,157,3,1000,2,0.8304697601700921,-185.4776569416791,37682,0.4718446731567383,True
KMeans,kmeans(reference),157,3,1000,2,0.8500823822571499,,471,0.5448770523071289,True
