Method,Acc,F,F_sd,AUC,MeanRank,Train_s
DDEL-GMM (ours),0.9725217243624218,0.9734095552412573,0.0055369208712395725,0.9986682724929852,2.65,103.18417642116546
Random Forest,0.93261522639569,0.9313811429555836,0.007972936975500824,0.9950822787824782,6.0,63.288149905204776
Gradient Boosting,0.9572777793502978,0.9576031746528558,0.008547766210460862,0.998071549155034,5.0,127.9442506313324
Bagging (LR),0.9724248256861691,0.9733808297937369,0.004920058681935072,0.998760751432666,2.2,138.22452793121337
AdaBoost,0.8796000452885732,0.8815837603885208,0.012994368253320399,0.9803679168237865,7.0,173.34017560482025
Single LR,0.9725218187136158,0.9733530155838646,0.0054495705039445085,0.9986666392716325,2.35,13.888285684585572
Single SVM,0.9712596827912858,0.9720710467068212,0.006659380322017185,0.9987243278445177,2.8,30.928666377067564
