d,eccentricity,overlap,seed,n_samples,n_components,n_seeds_total,algorithm,ARI,NMI,fit_time,mean_loglik,silhouette,davies_bouldin,calinski_harabasz
2,1,0.0,0,500,3,3,GMM,1.0,1.0,0.3219113349914551,-3.8858697735699455,0.7865324393430694,0.2880059152117505,3197.8394824892057
2,1,0.0,0,500,3,3,KMeans,1.0,1.0,0.293212890625,,0.7865324393430694,0.2880059152117505,3197.8394824892057
2,1,0.0,1,500,3,3,GMM,1.0,1.0,0.08849310874938965,-3.8731414720335,0.7891022520167856,0.2856052208596811,3249.0092986876934
2,1,0.0,1,500,3,3,KMeans,1.0,1.0,0.1789381504058838,,0.7891022520167856,0.2856052208596811,3249.0092986876934
2,1,0.0,2,500,3,3,GMM,1.0,1.0,0.08313250541687012,-3.930567284094713,0.7839519673021393,0.29323454362499396,3085.8506583134395
2,1,0.0,2,500,3,3,KMeans,1.0,1.0,0.3233799934387207,,0.7839519673021393,0.29323454362499396,3085.8506583134395
2,1,0.2,0,500,3,3,GMM,1.0,1.0,0.11444640159606934,-3.8858328737316272,0.7359135691329332,0.3524772721403782,2144.912816820018
2,1,0.2,0,500,3,3,KMeans,1.0,1.0,0.09681987762451172,,0.7359135691329332,0.3524772721403782,2144.912816820018
2,1,0.2,1,500,3,3,GMM,1.0,1.0,0.11023759841918945,-3.8726995210718855,0.7391604896865234,0.34875896530322764,2181.6687354860683
2,1,0.2,1,500,3,3,KMeans,1.0,1.0,0.13356733322143555,,0.7391604896865234,0.34875896530322764,2181.6687354860683
2,1,0.2,2,500,3,3,GMM,1.0,1.0,0.10122895240783691,-3.9303423602007435,0.7333279876432605,0.35794981173036383,2073.8049651143633
2,1,0.2,2,500,3,3,KMeans,1.0,1.0,0.13013005256652832,,0.7333279876432605,0.35794981173036383,2073.8049651143633
2,1,0.4,0,500,3,3,GMM,0.9879762948044486,0.9801906510597234,0.07455039024353027,-3.8748913286714908,0.6531920024716987,0.456068163414629,1298.5134678604725
2,1,0.4,0,500,3,3,KMeans,0.993969818926683,0.9888285217650024,0.20025229454040527,,0.6538717706619944,0.4553830428985132,1302.2196774216884
2,1,0.4,1,500,3,3,GMM,0.9640935034293615,0.9380979468215148,0.06157231330871582,-3.851635479216985,0.6624708105354981,0.44161881440994294,1353.2543672947547
2,1,0.4,1,500,3,3,KMeans,0.9581187087737849,0.9294649519161791,0.4146547317504883,,0.6625792024782066,0.4407249065118383,1353.7578855981753
2,1,0.4,2,500,3,3,GMM,0.9521966629801106,0.9183281303137882,0.06869149208068848,-3.9083064956422096,0.6541029907443514,0.45945538931706187,1273.3447155583904
2,1,0.4,2,500,3,3,KMeans,0.9581710558920604,0.9269617851610821,0.5372617244720459,,0.6550352778028476,0.4575963272270214,1280.3178067813565
2,1,0.6,0,500,3,3,GMM,0.8317422218012516,0.7775388347772415,0.1813821792602539,-3.746501315787417,0.5403438083811147,0.6184763544391506,749.6857361709353
2,1,0.6,0,500,3,3,KMeans,0.8374224166636167,0.7803518832552698,0.1737356185913086,,0.5411985826816389,0.6157289437214736,752.3882647351495
2,1,0.6,1,500,3,3,GMM,0.86013597780595,0.7968682040202067,0.14559197425842285,-3.7359053460016707,0.5522166139047885,0.5879101465649089,781.4798497566155
2,1,0.6,1,500,3,3,KMeans,0.8657980158065255,0.8041071129762896,0.22331929206848145,,0.5526230323459208,0.5852417232718038,782.508821082761
2,1,0.6,2,500,3,3,GMM,0.8772455282922567,0.822263627556988,0.16934418678283691,-3.797319964998386,0.5412214153209209,0.601106720692297,736.1006082347064
2,1,0.6,2,500,3,3,KMeans,0.8829104348724375,0.828795759663355,0.37606263160705566,,0.5412168699529619,0.6005216834759493,736.4161409911685
2,1,0.8,0,500,3,3,GMM,0.4899537442455807,0.4249804636320147,0.24777841567993164,-3.384304440779489,0.4188162562388178,0.778355470697028,443.35073223358955
2,1,0.8,0,500,3,3,KMeans,0.5014170934348813,0.43454537735324744,0.32980775833129883,,0.4209302099947189,0.7760445909111415,446.4656450066698
2,1,0.8,1,500,3,3,GMM,0.5423745227590245,0.4714818902802543,0.036224365234375,-3.4055724546557697,0.41646895650324406,0.7909809111376319,432.3011068729159
2,1,0.8,1,500,3,3,KMeans,0.5515811710738636,0.47816727500246653,0.5589292049407959,,0.4177430511946073,0.7952488318477279,435.5272671294557
2,1,0.8,2,500,3,3,GMM,0.5497891599487624,0.48117737445975933,0.08123517036437988,-3.4652951761603537,0.3965567137883797,0.8228782085179991,400.75952159577
2,1,0.8,2,500,3,3,KMeans,0.5534979972300544,0.48371219377434427,0.5083563327789307,,0.39699408159982946,0.8234067898765892,402.5537455414912
2,3,0.0,0,500,3,3,GMM,1.0,1.0,0.04956769943237305,-3.7420268255210143,0.7913009575922751,0.27980604598557063,3260.9713546788867
2,3,0.0,0,500,3,3,KMeans,1.0,1.0,0.39299654960632324,,0.7913009575922751,0.27980604598557063,3260.9713546788867
2,3,0.0,1,500,3,3,GMM,1.0,1.0,0.12493467330932617,-3.7293008519195965,0.7959699432817359,0.278610072141141,3356.1954487106755
2,3,0.0,1,500,3,3,KMeans,1.0,1.0,0.11789274215698242,,0.7959699432817359,0.278610072141141,3356.1954487106755
2,3,0.0,2,500,3,3,GMM,0.993969818926683,0.9888285217650022,0.09058713912963867,-3.7790544276883473,0.7920489902130862,0.28064213909674707,3216.11530088911
2,3,0.0,2,500,3,3,KMeans,0.993969818926683,0.9888285217650022,0.4292292594909668,,0.7920489902130862,0.28064213909674707,3216.11530088911
2,3,0.2,0,500,3,3,GMM,1.0,1.0,0.056993722915649414,-3.741367846654789,0.7414975710394441,0.34214720454058695,2189.4395219495614
2,3,0.2,0,500,3,3,KMeans,1.0,1.0,0.3111264705657959,,0.7414975710394441,0.34214720454058695,2189.4395219495614
2,3,0.2,1,500,3,3,GMM,1.0,1.0,0.1552414894104004,-3.7292562752821508,0.7484763136592384,0.3400360438998216,2265.431543657655
2,3,0.2,1,500,3,3,KMeans,0.993969818926683,0.9888285217650024,0.1428966522216797,,0.7487662791368481,0.3406980974128629,2272.5215454229588
2,3,0.2,2,500,3,3,GMM,0.9819101212102262,0.9690075668882544,0.1516730785369873,-3.7624839323238213,0.7471832889737493,0.3406226306344092,2233.386230382997
2,3,0.2,2,500,3,3,KMeans,0.9819101212102262,0.9690075668882544,0.13175225257873535,,0.7471832889737493,0.3406226306344092,2233.386230382997
2,3,0.4,0,500,3,3,GMM,0.9702178315508575,0.9588471478848204,0.15629792213439941,-3.7216859583321362,0.664778626932231,0.4401556950913739,1354.5867803851675
2,3,0.4,0,500,3,3,KMeans,0.9639341830175836,0.9455898922518956,0.23654794692993164,,0.6656048922380937,0.4407959457585095,1363.4711352706756
2,3,0.4,1,500,3,3,GMM,0.9820196457415075,0.972508749315855,0.14060163497924805,-3.7151276496757095,0.677629641210268,0.43608526363244343,1425.838913927718
2,3,0.4,1,500,3,3,KMeans,0.9761000871161618,0.9654473703197342,0.5264425277709961,,0.677558953556838,0.4368221664019359,1426.2680992940961
2,3,0.4,2,500,3,3,GMM,0.9581166577415231,0.9244220092165121,0.16547226905822754,-3.7280171990512225,0.6780543783509325,0.42460570989514296,1425.6650248450662
2,3,0.4,2,500,3,3,KMeans,0.9521781525058098,0.9158002253672158,0.13843321800231934,,0.6781283814654938,0.4262192049945912,1426.138348020464
2,3,0.6,0,500,3,3,GMM,0.846101589624565,0.802311285024517,0.18734073638916016,-3.6204678049567303,0.5583392889690972,0.590017480138952,796.5848730678988
2,3,0.6,0,500,3,3,KMeans,0.8286813475974808,0.7825621558122576,0.11712169647216797,,0.5623255970261634,0.5839701931118878,814.8127193429476
2,3,0.6,1,500,3,3,GMM,0.9057552843095847,0.8576177749556216,0.17842960357666016,-3.627359903997886,0.5662103703211224,0.5880640473066296,810.417252413702
2,3,0.6,1,500,3,3,KMeans,0.8587958740232955,0.8253218188254628,0.16955304145812988,,0.574045795042879,0.5742386032309549,843.5926338915741
2,3,0.6,2,500,3,3,GMM,0.8433063962839676,0.7780711471672485,0.10333395004272461,-3.6275286198695427,0.5740128108575281,0.566685047472297,843.9940191153831
2,3,0.6,2,500,3,3,KMeans,0.84881067499435,0.785607187719831,0.1550452709197998,,0.5743639383451825,0.5672982712133935,845.2111479383221
2,3,0.8,0,500,3,3,GMM,0.5300497125046547,0.48534132950168446,0.1584184169769287,-3.3230008902548613,0.4324543317805223,0.763553091140945,469.68847918739505
2,3,0.8,0,500,3,3,KMeans,0.5200717590923245,0.4760900522732661,0.1423804759979248,,0.43446125195207197,0.758749916720958,477.88285105140676
2,3,0.8,1,500,3,3,GMM,0.5794837897196592,0.5702723923753855,0.1371774673461914,-3.3608722880613735,0.4353916935332699,0.7845279014091702,447.2451457689775
2,3,0.8,1,500,3,3,KMeans,0.5510902887282648,0.5370239287228077,0.28895092010498047,,0.44189434450710646,0.7748219213632722,467.1117748837435
2,3,0.8,2,500,3,3,GMM,0.5214928304860331,0.45089074960144593,0.11868119239807129,-3.3331864079442073,0.4355153405696998,0.7612127948888365,470.97803641261316
2,3,0.8,2,500,3,3,KMeans,0.5259397070794851,0.4608435455349709,0.5674269199371338,,0.43974921044484283,0.7702775999656368,476.4615994983838
2,10,0.0,0,500,3,3,GMM,1.0,1.0,0.0774993896484375,-3.33241236020868,0.7987342081232529,0.269284008668242,3279.0986496802643
2,10,0.0,0,500,3,3,KMeans,1.0,1.0,0.2757589817047119,,0.7987342081232529,0.269284008668242,3279.0986496802643
2,10,0.0,1,500,3,3,GMM,1.0,1.0,0.1123192310333252,-3.319686273786035,0.8001324630478852,0.2669122446049359,3298.4961805723433
