DDEL-GMM (ours),Random Forest,Gradient Boosting,Bagging (LR),AdaBoost,Single LR
0.9722579007304023,0.9297221684211991,0.9609849693230733,0.9711430417560404,0.886842148775059,0.9689946204053523
0.9701546353892937,0.9441263585474036,0.9606467290287214,0.9701762846706896,0.8999411217016217,0.969022977111074
0.9739499089798261,0.9313504571098972,0.9529251822025802,0.9766703212835717,0.875338103745063,0.9748650812668433
0.9719783936255973,0.9207124758528947,0.9614994094548432,0.9698973524925624,0.8749326314572422,0.9728903679390459
0.9681132828038058,0.9277674722567526,0.9548561848870484,0.9660344625233019,0.8791058689063839,0.9681206828576975
0.9839621247040028,0.9393785478103646,0.9656898531477665,0.9822633841450555,0.8871316306228816,0.9829389874296041
0.9818136284660132,0.9393200863569597,0.967703275416547,0.978252669034267,0.8943992415381229,0.9818136284660132
0.969651551870125,0.9307840290195061,0.9526653295184544,0.9719676150422097,0.8844214876534271,0.970733180713523
0.9674399649099539,0.9135381715414562,0.937908425167004,0.9704748219203556,0.8522140474143692,0.9684658525806878
0.9747741609335522,0.9354874409335415,0.961152388382521,0.976928345069315,0.881511322071038,0.9756847770688045
