K,rule,phi,overlap,disagree,oracle,ddel_F,delta_vs_single,sec
5,responsibility,0.2,0.11299434411651443,0.7061165048543689,0.9805825242718447,0.9497362080171813,-0.019258412388171053,6.0251851081848145
5,responsibility,0.4,0.28851334827644026,0.6428155339805824,0.9912621359223301,0.9736899619607877,0.004695341555435384,15.905962467193604
5,responsibility,0.5,0.3767919551681619,0.4433980582524272,0.9844660194174757,0.9729469466126653,0.003952326207313006,20.00450611114502
5,responsibility,0.6,0.4774755660267703,0.199126213592233,0.987378640776699,0.971124736727336,0.002130116321983677,30.987132787704468
5,responsibility,0.9,0.8424346384561984,0.008349514563106796,0.9728155339805825,0.9722579007304023,0.0032632803250499665,54.17931604385376
5,distance,0.2,0.11514696048250808,0.7029126213592233,0.9825242718446602,0.9507097747179207,-0.018284845687431606,6.50157618522644
5,distance,0.4,0.2808451517455636,0.6311650485436894,0.9844660194174757,0.9707114106823264,0.0017167902769740229,12.47101902961731
5,distance,0.5,0.3687822594952695,0.33883495145631065,0.9893203883495145,0.9720464711012129,0.0030518506958605585,23.84581756591797
5,distance,0.6,0.49191776012871086,0.07766990291262135,0.9825242718446602,0.9720245177496114,0.0030298973442590693,31.849687576293945
5,distance,0.9,0.8720477126535953,0.01145631067961165,0.9718446601941747,0.9689946204053523,0.0,54.92363715171814
6,responsibility,0.2,0.1432178057406185,0.6559223300970873,0.9844660194174757,0.949696260352367,-0.019298360052985353,6.41446328163147
6,responsibility,0.4,0.3506931091139861,0.5207766990291262,0.9980582524271845,0.9800435807179974,0.011048960312645018,17.880263566970825
6,responsibility,0.5,0.43341264061542917,0.41411003236245947,0.9864077669902913,0.973184392961206,0.004189772555853621,25.47869849205017
6,responsibility,0.6,0.5231041837740507,0.1920388349514563,0.9902912621359223,0.971124736727336,0.002130116321983677,40.7649986743927
6,responsibility,0.9,0.8556049569236232,0.007508090614886731,0.9737864077669903,0.9722579007304023,0.0032632803250499665,73.5322573184967
6,distance,0.2,0.16340528939932586,0.6511974110032361,0.987378640776699,0.9548996695367621,-0.01409495086859025,8.086563110351562
6,distance,0.4,0.3480105058488728,0.6167637540453074,0.9951456310679612,0.9708267779225794,0.0018321575172270954,17.226167917251587
6,distance,0.5,0.4245796316568691,0.2977993527508091,0.9883495145631068,0.9729469466126653,0.003952326207313006,26.850252151489258
6,distance,0.6,0.5300112894624136,0.07553398058252427,0.9825242718446602,0.971124736727336,0.002130116321983677,35.24280309677124
6,distance,0.9,0.876654773956117,0.010938511326860844,0.9737864077669903,0.9689946204053523,0.0,66.18864583969116
