Baseline,Wilcoxon_p,folds_ours_win,RankGap,Nemenyi_separates,Friedman_chi2,Friedman_p,Nemenyi_CD
Random Forest,0.001953125,10,3.95,True,50.3720930232558,3.958965734219277e-09,2.848347742823624
Gradient Boosting,0.001953125,10,2.95,True,50.3720930232558,3.958965734219277e-09,2.848347742823624
Bagging (LR),0.625,7,0.3500000000000001,False,50.3720930232558,3.958965734219277e-09,2.848347742823624
AdaBoost,0.001953125,10,4.95,True,50.3720930232558,3.958965734219277e-09,2.848347742823624
Single LR,0.49609375,5,0.5,False,50.3720930232558,3.958965734219277e-09,2.848347742823624
Single SVM,0.10546875,7,0.9500000000000002,False,50.3720930232558,3.958965734219277e-09,2.848347742823624
