DDEL-GMM (ours),META-DES,DELAK,KNORA-U,KNORA-E
0.9686395350495811,0.9519296471823766,0.9520387587885599,0.9527290143259948,0.9488767474317573
0.97425242077933,0.9752258023683676,0.958383603888791,0.9656355651465757,0.9575203079359392
0.9709907521627521,0.9586756964052635,0.9605547818790526,0.9593919011307734,0.9498820321547257
0.9655126217399316,0.964248380247407,0.936844721428303,0.9271335917537169,0.9555044970270923
0.9652326316985407,0.9792012287303798,0.961413887585599,0.9478345882790543,0.9504442720241391
0.9643235046670979,0.9436730187590769,0.9663062963685228,0.9477084991760933,0.93193867097798
0.970253421459105,0.9504089208302733,0.9557504312665867,0.9433894053994498,0.9541928325869371
0.9673911185227232,0.955232976224916,0.9465139873485652,0.9555647156701728,0.9362422402445721
0.9647208479998134,0.9608205676743053,0.9470972392972167,0.9330504293283901,0.9246989818690298
0.9715912224629548,0.9537834801008982,0.9366171486445976,0.9470455682366051,0.9511679745592452
