variant,clustering,accuracy,mean_f_score,auc,rank,covariance_params,ari
DDEL-GMM,GMM,0.9683,0.9691,0.9945,1.0,62015,0.742
DDEL-KMeans,K-means,0.959,0.961,0.990,2.0,785,0.317
