DDEL-GMM (ours),META-DES,DELAK,KNORA-U,KNORA-E
0.97223953504958,0.95552964718238,0.95563875878856,0.95632901432599,0.95247674743176
0.97785242077933,0.97882580236837,0.96198360388879,0.96923556514658,0.96112030793594
0.97459075216275,0.96227569640526,0.96415478187905,0.96299190113077,0.95348203215473
0.96911262173993,0.96784838024741,0.94044472142830,0.93073359175372,0.95910449702709
0.96883263169854,0.98280122873038,0.96501388758560,0.95143458827905,0.95404427202414
0.96792350466710,0.94727301875908,0.96990629636852,0.95130849917609,0.93553867097798
0.97385342145910,0.95400892083027,0.95935043126659,0.94698940539945,0.95779283258694
0.97099111852272,0.95883297622492,0.95011398734857,0.95916471567017,0.93984224024457
0.96832084799981,0.96442056767431,0.95069723929722,0.93665042932839,0.92829898186903
0.97519122246295,0.95738348010090,0.94021714864460,0.95064556823661,0.95476797455925
