DDEL-GMM (ours),Random Forest,Gradient Boosting,Bagging (LR),AdaBoost,Single LR,Single SVM
0.97852561388333,0.93191174933856,0.96458496932307,0.97474304175604,0.89044214877506,0.97259462040535,0.97068107865293
0.97029930720654,0.94581880713849,0.96424672902872,0.97377628467069,0.90354112170162,0.97262297711107,0.97422819453165
0.98137339471206,0.93139464097659,0.95652518220258,0.98027032128357,0.87893810374506,0.97846508126684,0.97945653370811
0.97625540620265,0.92732663900306,0.96509940945484,0.97349735249256,0.87853263145724,0.97649036793905,0.97232394174123
0.97701253239490,0.93027122693491,0.95845618488705,0.96963446252330,0.88270586890638,0.97172068285770,0.97337099586650
0.98756212470400,0.94406189544501,0.96928985314777,0.98586338414506,0.89073163062288,0.98653898742960,0.98585212266382
0.98541362846601,0.94280521782119,0.97130327541655,0.98185266903427,0.89799924153812,0.98541362846601,0.98575917513300
0.96870089682933,0.93734517151853,0.95626532951845,0.97556761504221,0.88802148765343,0.97433318071352,0.96876871834183
0.96958536478910,0.92104522149381,0.94150842516700,0.97407482192036,0.85581404741437,0.97206585258069,0.96699523103476
0.98308086262708,0.93783085988568,0.96475238838252,0.98052834506932,0.88511132207104,0.97928477706880,0.97927447539439
